TENERIFFE,,"H=70 Feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,18,10,30,30.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,19,11,12,30.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,20,22,13,30.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,21,21,17,30.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,22,10,50,30.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,23,20,55,30.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,24,8,50,30.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,25,3,45,30.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,30,22,1,30.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,31,9,50,30.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,1,9,11,30.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,2,12,5,30.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,3,11,3,30.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,4,12,21,30.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,5,9,45,30.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,6,9,55,30.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,7,10,0,30.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,8,9,28,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,9,12,25,30.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,10,21,45,30.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,11,3,48,30.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,12,3,35,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,13,9,48,30.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,14,10,5,30.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,15,5,41,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,16,11,10,30.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,17,9,25,30.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,18,10,21,30.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,19,10,20,30.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,20,11,50,30.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,21,11,20,30.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,22,10,1,30.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,23,9,31,30.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,24,10,5,30.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,25,10,21,30.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,26,11,5,30.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,27,10,34,30.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,28,21,14,30.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,29,10,24,30.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,30,9,30,30.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,8,31,10,40,30.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,1,13,20,30.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,2,10,50,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,3,10,3,30.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,4,10,30,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,5,8,0,30.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,6,8,20,30.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,7,11,6,30.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,8,9,10,30.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,9,9,10,30.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,10,9,30,30.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,11,11,45,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,12,8,48,30.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,13,10,20,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,14,21,0,30.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,15,8,48,30.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,16,9,30,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,17,8,57,30.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,18,10,6,30.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,19,10,20,30.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,22,21,0,30.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,23,21,30,30.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,24,9,10,30.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,25,9,0,30.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,26,9,20,30.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,27,9,31,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,28,21,14,30.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,29,20,55,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,9,30,10,30,30.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
